NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
STEROL BIOSYNTHETIC PROCESS%GOBP%GO:0016126	STEROL BIOSYNTHETIC PROCESS%GOBP%GO:0016126	Details ...	30	-0.758088	-2.4303627	0.0	0.0	0.0	1027	tags=57%, list=8%, signal=62%	
SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%HUMANCYC%PWY66-5	SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%HUMANCYC%PWY66-5	Details ...	25	-0.7874097	-2.4116657	0.0	0.0	0.0	1027	tags=60%, list=8%, signal=65%	
CHOLESTEROL BIOSYNTHETIC PROCESS%GOBP%GO:0006695	CHOLESTEROL BIOSYNTHETIC PROCESS%GOBP%GO:0006695	Details ...	28	-0.78021467	-2.3941333	0.0	0.0	0.0	1027	tags=61%, list=8%, signal=66%	
SECONDARY ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:1902653	SECONDARY ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:1902653	Details ...	28	-0.78021467	-2.3681777	0.0	0.0	0.0	1027	tags=61%, list=8%, signal=66%	
CHOLESTEROL BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 75%191273	CHOLESTEROL BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 75%191273	Details ...	21	-0.81857824	-2.3178587	0.0	0.0	0.0	1027	tags=67%, list=8%, signal=72%	
STEROL REGULATORY ELEMENT-BINDING PROTEINS (SREBP) SIGNALLING%WIKIPATHWAYS_20210210%WP1982%HOMO SAPIENS	STEROL REGULATORY ELEMENT-BINDING PROTEINS (SREBP) SIGNALLING%WIKIPATHWAYS_20210210%WP1982%HOMO SAPIENS	Details ...	45	-0.5954508	-2.0996175	0.0	0.004294407	0.029	1026	tags=38%, list=8%, signal=41%	
CARBOXYTERMINAL POST-TRANSLATIONAL MODIFICATIONS OF TUBULIN%REACTOME%R-HSA-8955332.1	CARBOXYTERMINAL POST-TRANSLATIONAL MODIFICATIONS OF TUBULIN%REACTOME%R-HSA-8955332.1	Details ...	29	-0.66437614	-2.0950353	0.0	0.0040473486	0.032	2697	tags=66%, list=21%, signal=83%	
NEGATIVE REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031111	NEGATIVE REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031111	Details ...	29	-0.6571037	-2.090378	0.0	0.0040770113	0.037	2019	tags=45%, list=16%, signal=53%	
NEGATIVE REGULATION OF TRANSPORTER ACTIVITY%GOBP%GO:0032410	NEGATIVE REGULATION OF TRANSPORTER ACTIVITY%GOBP%GO:0032410	Details ...	38	-0.6146874	-2.0133674	0.0	0.01749759	0.17	2020	tags=47%, list=16%, signal=56%	
ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME DATABASE ID RELEASE 75%2426168	ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME DATABASE ID RELEASE 75%2426168	Details ...	39	-0.59808904	-2.0018609	0.0	0.018495303	0.199	2301	tags=51%, list=18%, signal=63%	
NEGATIVE REGULATION OF ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:0032413	NEGATIVE REGULATION OF ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:0032413	Details ...	32	-0.61944324	-2.0017786	0.0	0.016890813	0.2	2020	tags=50%, list=16%, signal=59%	
INTERACTION BETWEEN L1 AND ANKYRINS%REACTOME DATABASE ID RELEASE 75%445095	INTERACTION BETWEEN L1 AND ANKYRINS%REACTOME DATABASE ID RELEASE 75%445095	Details ...	23	-0.67764777	-1.9772676	0.0	0.02220978	0.277	1450	tags=57%, list=12%, signal=64%	
NEGATIVE REGULATION OF CALCIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:1901020	NEGATIVE REGULATION OF CALCIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:1901020	Details ...	18	-0.68088937	-1.9048362	0.0	0.059624694	0.588	2014	tags=56%, list=16%, signal=66%	
STEROID BIOSYNTHETIC PROCESS%GOBP%GO:0006694	STEROID BIOSYNTHETIC PROCESS%GOBP%GO:0006694	Details ...	65	-0.50293165	-1.8903229	0.0	0.06797777	0.679	1027	tags=28%, list=8%, signal=30%	
CHOLESTEROL METABOLISM (INCLUDES BOTH BLOCH AND KANDUTSCH-RUSSELL PATHWAYS)%WIKIPATHWAYS_20210210%WP4718%HOMO SAPIENS	CHOLESTEROL METABOLISM (INCLUDES BOTH BLOCH AND KANDUTSCH-RUSSELL PATHWAYS)%WIKIPATHWAYS_20210210%WP4718%HOMO SAPIENS	Details ...	34	-0.57984245	-1.877607	0.0	0.07528099	0.735	1257	tags=44%, list=10%, signal=49%	
REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031110	REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031110	Details ...	63	-0.5048004	-1.8745662	0.0	0.072978616	0.744	2958	tags=41%, list=24%, signal=54%	
POSITIVE REGULATION OF EXCITATORY POSTSYNAPTIC POTENTIAL%GOBP%GO:2000463	POSITIVE REGULATION OF EXCITATORY POSTSYNAPTIC POTENTIAL%GOBP%GO:2000463	Details ...	17	-0.6959322	-1.8623359	0.0046838406	0.07998028	0.805	1645	tags=35%, list=13%, signal=41%	
BIOCARTA_CREB_PATHWAY%MSIGDB_C2%BIOCARTA_CREB_PATHWAY	BIOCARTA_CREB_PATHWAY%MSIGDB_C2%BIOCARTA_CREB_PATHWAY	Details ...	17	-0.6712178	-1.8385698	0.0	0.10111938	0.878	935	tags=47%, list=7%, signal=51%	
