NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	101	0.7108101	2.5196052	0.0	0.0	0.0	1306	tags=40%, list=10%, signal=44%	
HALLMARK_HYPOXIA%MSIGDB_C2%HALLMARK_HYPOXIA	HALLMARK_HYPOXIA%MSIGDB_C2%HALLMARK_HYPOXIA	Details ...	108	0.68497187	2.44234	0.0	0.0	0.0	1578	tags=41%, list=13%, signal=46%	
AP-1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AP-1 TRANSCRIPTION FACTOR NETWORK	AP-1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AP-1 TRANSCRIPTION FACTOR NETWORK	Details ...	41	0.76158863	2.3168898	0.0	0.0	0.0	487	tags=32%, list=4%, signal=33%	
REGULATION OF PRI-MIRNA TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:1902893	REGULATION OF PRI-MIRNA TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:1902893	Details ...	27	0.81377584	2.2808857	0.0	0.0	0.0	1152	tags=52%, list=9%, signal=57%	
POSITIVE REGULATION OF PRI-MIRNA TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:1902895	POSITIVE REGULATION OF PRI-MIRNA TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:1902895	Details ...	20	0.8496244	2.2653775	0.0	0.0	0.0	1152	tags=60%, list=9%, signal=66%	
COLLAGEN FORMATION%REACTOME%R-HSA-1474290.3	COLLAGEN FORMATION%REACTOME%R-HSA-1474290.3	Details ...	58	0.68720233	2.2436974	0.0	0.0	0.0	1542	tags=45%, list=12%, signal=51%	
COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	Details ...	61	0.67199636	2.2382338	0.0	0.0	0.0	1738	tags=44%, list=14%, signal=51%	
HALLMARK_APOPTOSIS%MSIGDB_C2%HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS%MSIGDB_C2%HALLMARK_APOPTOSIS	Details ...	85	0.6483425	2.2000105	0.0	2.706833E-4	0.002	1448	tags=39%, list=12%, signal=44%	
HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK	HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK	Details ...	45	0.70228374	2.1955395	0.0	2.4060736E-4	0.002	1416	tags=42%, list=11%, signal=47%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 75%1650814	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 75%1650814	Details ...	47	0.69402504	2.163568	0.0	5.3515163E-4	0.005	1542	tags=43%, list=12%, signal=48%	
INTERLEUKIN-4 AND INTERLEUKIN-13 SIGNALING%REACTOME DATABASE ID RELEASE 75%6785807	INTERLEUKIN-4 AND INTERLEUKIN-13 SIGNALING%REACTOME DATABASE ID RELEASE 75%6785807	Details ...	49	0.6736007	2.113904	0.0	0.0013748261	0.014	1389	tags=27%, list=11%, signal=30%	
PID_AP1_PATHWAY%MSIGDB_C2%PID_AP1_PATHWAY	PID_AP1_PATHWAY%MSIGDB_C2%PID_AP1_PATHWAY	Details ...	33	0.72556686	2.1111794	0.0	0.0013507905	0.015	487	tags=27%, list=4%, signal=28%	
REGULATION OF OSSIFICATION%GOBP%GO:0030278	REGULATION OF OSSIFICATION%GOBP%GO:0030278	Details ...	83	0.60731846	2.0855703	0.0	0.002662626	0.032	2354	tags=48%, list=19%, signal=59%	
EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.2	EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.2	Details ...	172	0.5490177	2.0837357	0.0	0.0026283676	0.034	2654	tags=44%, list=21%, signal=55%	
HALLMARK_IL2_STAT5_SIGNALING%MSIGDB_C2%HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING%MSIGDB_C2%HALLMARK_IL2_STAT5_SIGNALING	Details ...	108	0.58614486	2.0740995	0.0	0.0032388186	0.044	1346	tags=31%, list=11%, signal=34%	
ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE%GOBP%GO:0030968	ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE%GOBP%GO:0030968	Details ...	84	0.5899752	2.0595264	0.0	0.0039833644	0.058	2803	tags=52%, list=22%, signal=67%	
POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0050731	POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0050731	Details ...	61	0.62918466	2.053298	0.0	0.0041295243	0.063	2211	tags=44%, list=18%, signal=53%	
GLYCOLYTIC PROCESS THROUGH FRUCTOSE-6-PHOSPHATE%GOBP%GO:0061615	GLYCOLYTIC PROCESS THROUGH FRUCTOSE-6-PHOSPHATE%GOBP%GO:0061615	Details ...	19	0.7867556	2.0441036	0.0	0.00413925	0.066	2640	tags=89%, list=21%, signal=113%	
GLYCOLYTIC PROCESS THROUGH GLUCOSE-6-PHOSPHATE%GOBP%GO:0061620	GLYCOLYTIC PROCESS THROUGH GLUCOSE-6-PHOSPHATE%GOBP%GO:0061620	Details ...	19	0.7867556	2.03747	0.0	0.0048304126	0.08	2640	tags=89%, list=21%, signal=113%	
NUCLEOTIDE PHOSPHORYLATION%GOBP%GO:0046939	NUCLEOTIDE PHOSPHORYLATION%GOBP%GO:0046939	Details ...	30	0.70001996	2.0333283	0.0	0.004804197	0.084	2641	tags=70%, list=21%, signal=88%	
