NAME	TITLE	SCORE	
MOXD1		8.094729	
NR4A1		6.5157804	
COL5A1		6.305646	
IER2		6.2299414	
JUNB		5.8510375	
EGR1		5.810085	
KLF3		5.7199397	
PPP1R15A		4.885057	
LIMA1		4.56565	
DUSP1		4.532164	
HEXIM1		4.4283476	
FOS		4.3965707	
TRIM62		4.1505985	
ABCC1		4.091357	
CBX4		4.012191	
SRF		3.9928396	
MCL1		3.976065	
STAT3		3.9647207	
TOB1		3.9531715	
PCDHB16		3.8579142	
ETV3		3.8329792	
FOSL2		3.7798076	
FAM135B		3.7796187	
MOB3B		3.7777529	
SORT1		3.7500467	
SASH1		3.720592	
MIDEAS		3.6459084	
TACC1		3.475832	
SERTAD2		3.4591744	
PCYOX1		3.3500392	
LIMK2		3.2554348	
BTG2		3.2259374	
ITM2C		3.2142246	
GEM		3.2135012	
FAM53C		3.2093372	
POM121C		3.208766	
SPRY4		3.1488233	
MAFF		3.1154	
TSPYL2		3.1087413	
RHOB		3.0975902	
ACVR1		3.0944285	
COL6A6		3.0657737	
PCDHB2		3.0368173	
TSPAN14		3.033245	
IL17RA		3.0042212	
HRK		2.9959369	
KLF10		2.9781315	
DNAJB1		2.9723632	
PODXL		2.9593399	
RGS2		2.951682	
UAP1L1		2.9148378	
RABEP2		2.9034028	
EIF4H		2.9011064	
TIMP2		2.8992443	
ATXN1L		2.8814528	
ZC3H12C		2.874107	
NIT2		2.8308315	
DHRS7		2.8253767	
PDGFRB		2.8130312	
MLXIP		2.7926986	
EHD4		2.7717154	
VTN		2.7698786	
MAN1C1		2.7433007	
BRD2		2.7363591	
BAMBI		2.7123902	
TTC39B		2.6518078	
MAFG		2.651301	
CACNA2D2		2.6321926	
PNMA8A		2.6252136	
TRH		2.6199617	
SCAF8		2.612255	
TAF5L		2.608283	
JUN		2.6026173	
FJX1		2.6018379	
EPHX1		2.5984027	
PRSS23		2.5866904	
ADORA2B		2.5773985	
PCDHA4		2.570246	
RENBP		2.563961	
CSRNP1		2.562141	
PIGM		2.5463986	
RHOC		2.5463233	
SLC22A23		2.5380747	
PLAAT3		2.5345733	
PGPEP1		2.4903784	
PRELID2		2.4883435	
TMEM38A		2.4791462	
S1PR1		2.46162	
ALDOA		2.454698	
COL11A1		2.4494073	
PARP14		2.4480553	
CCN1		2.4378412	
KLHL21		2.4317622	
JUND		2.4246058	
MEGF10		2.412497	
SQSTM1		2.3922336	
SYNM		2.3826115	
PLEKHA2		2.3816926	
CASP6		2.3771608	
PCDHGA10		2.3589818	
TMEM184B		2.3579361	
MAN2B1		2.3520947	
C3orf62		2.3467505	
MTHFD1L		2.3392105	
DNASE2		2.337492	
TAPBP		2.3227596	
PKP2		2.3201442	
PATL1		2.314497	
P4HA2		2.310663	
TMEM131		2.3096569	
PPP1R15B		2.303209	
OAF		2.2853894	
THRB		2.2650983	
RCOR1		2.2432854	
TFRC		2.238772	
DOC2B		2.2378173	
DOCK9		2.22082	
ATF3		2.2101486	
SLC35E1		2.2074013	
DAG1		2.2068114	
NUCB1		2.2020617	
NOD1		2.2000008	
EDEM1		2.1993008	
TCN2		2.1983588	
WBP11		2.1842098	
GM2A		2.1827896	
SPTY2D1		2.1752539	
SFMBT1		2.1710129	
ZNF395		2.1660504	
WARS1		2.1640768	
CHPF		2.1431863	
PAPPA2		2.1428335	
ELFN1		2.1265986	
TPST2		2.1195498	
LMTK2		2.1103003	
SSH1		2.103814	
CBX8		2.1024327	
EIF2AK3		2.1007001	
PGM1		2.0968394	
PPP1R3B		2.0929272	
GYS1		2.0798483	
GSN		2.0674014	
SETD7		2.059273	
PROS1		2.0462604	
SEMA6B		2.0426905	
PLA2G12A		2.041155	
DUSP3		2.0402749	
MTMR12		2.0370448	
STC2		2.0282514	
SLC35D2		2.0268476	
IGF2R		2.0263963	
MIR22HG		2.0177202	
TBC1D20		2.0164776	
ADRA2C		2.0159404	
UBALD1		2.0075855	
WWTR1		2.0065007	
EFNB2		2.0036666	
AMFR		1.9991024	
SLC44A1		1.9921905	
DDIT3		1.9878522	
WHAMM		1.9872853	
CLU		1.9864225	
SLC16A1		1.9816506	
EXTL1		1.9803036	
PRDX1		1.9756752	
WASF3		1.9727385	
MYLIP		1.9712168	
TJP3		1.9698231	
ZNF721		1.969374	
NR2F6		1.9668349	
FAM149A		1.9651041	
FOXK1		1.9642131	
BAIAP2-DT		1.9639912	
CCND3		1.9513253	
NEDD9		1.9512421	
NUAK2		1.9508476	
FTL		1.949818	
NFKBIZ		1.946672	
ATF4		1.9452833	
M6PR		1.9445539	
ORMDL3		1.9432387	
ST6GALNAC3		1.9395907	
IL6ST		1.9367139	
MYADM		1.9330348	
RND2		1.9323694	
CRYL1		1.930672	
S100A16		1.9256673	
TENT5A		1.9199947	
MGAT1		1.9179183	
UVRAG		1.9176977	
KDSR		1.9164741	
MANSC1		1.9154832	
GINM1		1.9090137	
IGFBP2		1.9061295	
FLCN		1.904312	
CYBRD1		1.9040115	
NR3C1		1.9000255	
MMP14		1.8948433	
TNS3		1.8901491	
MAMLD1		1.8770887	
PRKAR2A		1.8770005	
PCDHA6		1.8768511	
EPOP		1.8737625	
FNIP1		1.868917	
CLCC1		1.8605691	
KIAA1671		1.859646	
SLC2A1		1.8589123	
OBSL1		1.8584266	
COL1A1		1.8579504	
TSPAN18		1.8533727	
APMAP		1.8478992	
TMEM86A		1.8451126	
ARPP21		1.8428949	
GPR107		1.8407989	
RUNDC1		1.8395165	
FILIP1L		1.8318245	
PDK1		1.8284224	
BAHD1		1.8267626	
THBS4		1.8247402	
C1S		1.8245622	
CNNM4		1.8209536	
GBE1		1.8194162	
SMPD1		1.8189195	
CD9		1.8159313	
RIT1		1.8130375	
SH3BP4		1.8110168	
FBXO10		1.8077198	
CTSD		1.8067509	
DUSP6		1.8057961	
STK35		1.8027788	
IGFBP5		1.7970272	
SEC61A1		1.7929075	
HK2		1.7838625	
ZDHHC24		1.7825074	
ROR2		1.7817243	
SLC39A8		1.7815151	
ARHGAP42		1.7803787	
SLF2		1.7772571	
LRP10		1.7738034	
SLC7A5		1.7733835	
ZNF394		1.7632002	
SOWAHC		1.7622901	
ERO1A		1.7599968	
CERS4		1.7561727	
ESYT2		1.7539994	
SSTR2		1.753318	
SH3KBP1		1.7493995	
UBN1		1.7413553	
DSC2		1.7408304	
NANOS1		1.739421	
CSF1		1.7389883	
SH3D21		1.7371349	
AK4		1.7281773	
SRPRB		1.7271895	
EFNB1		1.7219396	
KCNK12		1.7214705	
LOXL3		1.7173606	
DSTYK		1.7162927	
GRASP		1.7135847	
ELOVL2		1.7105924	
SLC25A25		1.7094457	
SLC2A3		1.7081394	
BCL7B		1.7063553	
CCNY		1.7021662	
CTBP1-DT		1.7019796	
INTS10		1.7003183	
CLSTN1		1.6988375	
DKK3		1.690263	
FLNC		1.687956	
SAT2		1.6792018	
CTSB		1.6782883	
SZRD1		1.678165	
CXorf38		1.6764388	
CDKN2AIP		1.675885	
SLC7A11		1.6749748	
HTT		1.6719863	
NHSL1		1.6714864	
SNAPC1		1.6701666	
LMNA		1.6686211	
BTN2A2		1.6680799	
PTGFRN		1.6674134	
DUSP16		1.664628	
TMEM8B		1.6642736	
MAP2K1		1.6636627	
ALS2		1.662591	
PHLDA1		1.6586972	
RHBDD2		1.6567279	
SIK3		1.655805	
MAGEL2		1.6554582	
HMGXB3		1.6520258	
TENM1		1.6502606	
SLC12A2		1.6474655	
PFKFB4		1.6434734	
FKBP9		1.6428751	
FBXO17		1.6420325	
PIGZ		1.6399006	
CNTFR		1.6374131	
SLC66A1		1.6326702	
TFE3		1.6317364	
CCDC85B		1.6254573	
NEU1		1.6250293	
HLA-E		1.6238072	
CLN8		1.6233512	
IRF2BPL		1.622811	
TP53BP2		1.6224842	
NUDT4		1.6183069	
XPNPEP1		1.6170573	
HEXB		1.6153718	
ELF1		1.6153442	
PLAAT1		1.6144725	
BRI3		1.6126913	
SERPINF1		1.6112745	
RRAGC		1.609436	
RRAGD		1.6092082	
LYN		1.6070069	
TOR1AIP1		1.599789	
RIN2		1.5974287	
ANXA11		1.5929264	
NAGA		1.5910478	
LRRC37BP1		1.5904226	
PTPRJ		1.5884819	
USP54		1.5875132	
AP5B1		1.586796	
PRLR		1.5825983	
STRIP2		1.5823668	
PLXND1		1.5796548	
FHL2		1.5790536	
BCL10		1.577543	
SDC4		1.5751846	
POM121		1.5718098	
RAI14		1.5709773	
TIGAR		1.5707093	
C16orf72		1.5691615	
AKAP13		1.5673201	
TOR1AIP2		1.5667473	
DLL3		1.5627809	
TRAM2		1.5613182	
CD4		1.5608205	
AGL		1.5506415	
LIX1L		1.550552	
B2M		1.5496867	
DCBLD2		1.5472877	
SELENOS		1.5417105	
PAQR7		1.5410863	
RNF139		1.5410477	
PGAM1		1.5396106	
GTF3C1		1.5333432	
MYO1E		1.5295743	
GLUL		1.5288898	
DIPK2A		1.5223336	
HEG1		1.5178937	
ARHGEF6		1.5158626	
CTNNBIP1		1.5144148	
PCDHB5		1.5117356	
SPSB1		1.5077387	
PPARD		1.506595	
NEIL2		1.5013741	
BTN3A2		1.5009849	
ZYX		1.5004885	
RBM15		1.5002885	
SDE2		1.4993821	
ZFP36L1		1.4989221	
TRIM25		1.4988029	
TM9SF4		1.4945499	
COTL1		1.4913895	
KDM3A		1.4888086	
ANKH		1.487703	
TRAF3IP2		1.4870596	
DERA		1.4865417	
ERMAP		1.4828938	
PLOD2		1.4801034	
CBX6		1.4794625	
AFF1		1.4790415	
LAG3		1.4785591	
ST6GALNAC2		1.477604	
ZNF703		1.4757869	
ETV6		1.4735688	
FLRT1		1.4731026	
CSNK2A2		1.4700189	
P4HA1		1.4696997	
PLCE1		1.468662	
PRXL2C		1.4682184	
RND1		1.4681503	
CA2		1.4677058	
SLC10A3		1.4672248	
CHSY1		1.4663737	
TCTN2		1.4644336	
HERPUD1		1.4643235	
MRPL49		1.463987	
PER1		1.462442	
STRA6		1.4618117	
NAGLU		1.460873	
GNS		1.4590483	
PXN		1.4579798	
CP		1.4565248	
CHPF2		1.4558707	
WEE1		1.4551156	
CDYL		1.4548835	
OAZ2		1.4548185	
PCYT1A		1.4547689	
ADAL		1.4509859	
SLC41A1		1.4508057	
PIM3		1.4507039	
RNF213		1.4502317	
PLCD3		1.4489421	
POFUT1		1.4481161	
LAMP1		1.4452351	
DHX32		1.4436382	
YKT6		1.4433682	
SNHG32		1.4430058	
HS1BP3		1.4411644	
CDKN1A		1.4407191	
SERTAD3		1.4404223	
HM13		1.4380727	
COLGALT2		1.4361696	
VGLL4		1.4320267	
TLK1		1.4307787	
ZNF608		1.4289476	
KLHL15		1.4268795	
PIGX		1.4240065	
GUCD1		1.4223796	
TBL2		1.4210362	
JAK2		1.420122	
NPTX1		1.4198204	
PGK1		1.4184644	
ASPH		1.4173336	
ERRFI1		1.4173291	
ZNF318		1.4163158	
ZBTB21		1.4145522	
ATP1A1		1.4113348	
UBE2H		1.4105946	
USP32		1.40975	
TRPC4AP		1.4092367	
SLC20A1		1.4086672	
GATAD1		1.4084383	
SUPT6H		1.4062166	
RELA		1.4042611	
SLC48A1		1.4011801	
GANAB		1.39963	
B4GAT1		1.3992535	
FAM20B		1.3968749	
DERL1		1.3949301	
OCEL1		1.3943585	
FKBP5		1.3937997	
DEGS1		1.392352	
BACE1		1.3914883	
RAI2		1.386957	
LGALS3BP		1.3838851	
NACC2		1.3825793	
TOM1		1.3807809	
NCSTN		1.3786732	
GNPDA1		1.3786511	
RAX		1.3679868	
PIM2		1.3630531	
RNF149		1.3619086	
ZNF462		1.3611405	
SLC16A2		1.3610433	
DUSP22		1.3543309	
MCC		1.3507724	
MALAT1		1.3494132	
XYLT2		1.3486185	
UBE3C		1.3480206	
WDR45B		1.3473623	
TRAF3		1.3472067	
CRTAP		1.3447977	
SNHG17		1.3445768	
PLEKHH3		1.3439384	
C4orf3		1.3431549	
PYGB		1.3416065	
QTRT2		1.3414555	
PIP5K1A		1.3379701	
IRF3		1.3354001	
ASAH1		1.3328582	
PHYH		1.3327498	
IFI6		1.3322704	
IGDCC4		1.3312545	
TPI1		1.3300388	
TBC1D2B		1.3275292	
SNTA1		1.3261111	
TBC1D9		1.323966	
VIM		1.3227721	
DENND5A		1.3169407	
RNF4		1.3164725	
TMEM19		1.315841	
SLC30A1		1.3153304	
CYS1		1.3148665	
SYNPR		1.3148056	
COL1A2		1.3140923	
MANBA		1.3135542	
MBOAT7		1.3112009	
RAPGEF5		1.3099937	
KCTD18		1.309727	
RNF216		1.3095258	
STC1		1.3076996	
CCDC59		1.306666	
IGF2		1.3066341	
EMP1		1.3061444	
TSEN34		1.3053094	
LRP4		1.3052921	
COG7		1.3048809	
PPFIBP2		1.3042631	
TIMM50		1.3027991	
LRRC27		1.3018191	
SEC16A		1.3010147	
SPRY2		1.3003807	
KPNA6		1.3000634	
PLAGL2		1.2982439	
MIF		1.296206	
TTC19		1.2959229	
LDLRAD3		1.2891527	
MAPKAP1		1.2886999	
REEP6		1.2867132	
TRAF4		1.2819004	
DNPEP		1.278183	
CNNM1		1.2774943	
SCPEP1		1.2770857	
FASTKD5		1.276907	
ING1		1.2751461	
NFKBIE		1.2748007	
TSKU		1.2744346	
B4GALT4		1.2737067	
OTUD7B		1.2724066	
ZNF621		1.270034	
DNAJC3		1.269023	
SORBS2		1.2687668	
HSD17B12		1.2675736	
RELT		1.2672347	
CES3		1.2671269	
ZNF702P		1.2670076	
PSAP		1.2660891	
VLDLR		1.2635063	
LAMP2		1.2629212	
LINC01184		1.2575932	
MAPKAPK2		1.2564974	
EIF4A1		1.2561228	
CIART		1.2554762	
PCDHGB4		1.2541468	
SAMD12		1.2534072	
IQGAP2		1.2532959	
ZNF174		1.2517334	
B3GALNT2		1.2516844	
LRRC58		1.2508334	
ATOH8		1.2437117	
TMEM38B		1.2425874	
CLCN7		1.2418152	
SLC3A2		1.2413888	
SGTA		1.2413554	
SPINT2		1.2405268	
KIF16B		1.2399758	
FRMD6		1.2387853	
TNIP1		1.2376516	
SDK2		1.2376342	
DDB1		1.2363886	
ZNF517		1.2318828	
IER5		1.2317259	
SNX14		1.2311449	
FBXO42		1.2306957	
PALD1		1.2306921	
KDELR1		1.2304136	
FHOD3		1.227609	
MTHFR		1.22731	
SCP2		1.2256944	
PTPN11		1.2245268	
COL18A1		1.2234099	
SERPINB8		1.2224301	
AFG3L2		1.2214172	
RNPEP		1.2210733	
MRGBP		1.2209468	
ZHX3		1.218003	
RPS6KA4		1.2169737	
CCDC113		1.2160766	
SEC14L2		1.213767	
PTPRU		1.2137523	
LHFPL2		1.212675	
TANC1		1.2115456	
COL27A1		1.2100896	
PKIB		1.2098993	
TMEM63A		1.2098423	
TMEM237		1.2094682	
KDM4C		1.209078	
CCDC85C		1.2077867	
MTMR1		1.2047365	
THSD4		1.2040998	
DHRS13		1.2035098	
PITPNA		1.2034312	
EMP3		1.2019669	
IPP		1.201901	
VEGFB		1.2013177	
ELK3		1.2000967	
CABIN1		1.1998382	
NAF1		1.1980188	
METTL8		1.1973419	
DDX60		1.1966755	
C6orf89		1.1959541	
TBC1D10C		1.1864793	
GATAD2A		1.184903	
METRNL		1.1839157	
C12orf49		1.1833646	
WASL		1.1821834	
GJD2		1.1800802	
TNXB		1.1792731	
TSPAN3		1.1782557	
BLVRB		1.1763552	
PARL		1.1755481	
RBBP6		1.1752372	
HAUS2		1.174848	
NFKBIB		1.1746942	
NFKB2		1.1698043	
GNL1		1.1697783	
ZFAS1		1.1684955	
ARFGEF3		1.168466	
ADORA1		1.1679288	
ATRN		1.1668099	
MINAR1		1.1628625	
METTL2B		1.1627893	
CLPB		1.1603898	
CNN2		1.1603503	
PHLDB2		1.1588925	
CABP7		1.1571096	
ENO1		1.1545528	
TGFBRAP1		1.1534388	
ATP7A		1.1529443	
PFKFB2		1.151767	
RASL10B		1.150559	
LINC00648		1.1501641	
VWA5A		1.1487011	
MEGF9		1.1469703	
SHMT1		1.1449193	
NOS1AP		1.144509	
FBXO33		1.1444927	
CTDP1		1.1436974	
PSMA6		1.1435367	
SLC24A1		1.1425173	
SFT2D2		1.142183	
PAX2		1.1411258	
PEX5L		1.139626	
OGFOD1		1.1387731	
LOX		1.1386638	
CUL1		1.1385823	
QPRT		1.1375062	
ATF5		1.1370331	
CCN2		1.1361709	
TPH1		1.1353595	
ATP10D		1.1353548	
FAM162A		1.1348556	
MRPS18B		1.1341733	
ADAMTS4		1.1324841	
RHBDD3		1.1320308	
GARNL3		1.1319559	
SHROOM3		1.1290835	
ACTR3B		1.1251343	
TRAPPC3		1.1240238	
